,OID,VxHx_left,VxHx_top,VxHx_right,VxHx_btm,Area_Hex,Autopista,Ferrocarril_Int_CONV,Ferrocarril_estr_vel_conv,Ferrocarril_int_AVE,Ferrocarril_vel_conv,Via calzada unica,Via doble calzada,Via doble preferente,Via unica preferente,Arboles aislados,Vertedero,arenas,bosque,humedal,pradera,roquerios,Inst_E.E,Inst_E.EO,Inst_E.HC,Inst_E.HE,Inst_E.NU,Inst_E.OF,Inst_E.SO,Inst_E.TM,Max_WSP,Min_WSP,Mean_WSP,Calz_km,Calz_cnt,TTE_cnt,LTE_km,LTE_cnt,NA_km2,Na_cnt,UA_km2,UA_cnt,Den_P,Pend_m,InEl_km2,Con_kWh_hex,Con_kWh_Mun,Centerpoint_X,Centerpoint_Y,Prediccion_Eolica
349,350,273149.9615,4560475.523,274304.662,4559475.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18689639707430683,0.3449174069331241,0.36003825031112147,0.0,0.0,0.0,0.0,0.0,0.12774483517510263,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.08652334976719551,0.0,6.221538230629659e-05,0.0023387023381090852,273727.31175,4559975.523,1
361,362,273149.9615,4548475.523,274304.662,4547475.523,866025.4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16255589150129957,0.2939108985411675,0.33139172609635925,0.030499550384092026,0.0057306590257879654,0.05084745762711865,0.18061615967857467,0.11764705882352941,0.23550870672478594,0.3333333333333333,0.0,0.0,0.0002050020500205002,0.2608889467298814,0.0,5.262060381624741e-05,0.0006346889189015564,273727.31175,4547975.523,1
366,367,273149.9615,4543475.523,274304.662,4542475.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14868641627575008,0.2996656582607494,0.3222020909098642,0.0,0.0,0.0,0.0,0.0,0.10880488451338764,0.3333333333333333,0.0,0.0,0.00046125461254612545,0.05613126195236747,0.0,5.027197313418472e-05,0.0017730314366131688,273727.31175,4542975.523,1
412,413,274015.9869,4561975.523,275170.6874,4560975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20397561661383945,0.3442774256124519,0.357138893918201,0.0,0.0,0.03389830508474576,0.14970883840555257,0.11764705882352941,0.2450753340403797,0.3333333333333333,0.0,0.0,0.0003587535875358753,0.2302332653341871,0.0,0.00012167578971484247,0.0013820091895808025,274593.33715000004,4561475.523,1
414,415,274015.9869,4559975.523,275170.6874,4558975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17143165357953627,0.3620037017645207,0.35541488068029903,0.0,0.0,0.0,0.0,0.0,0.09948723087682587,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.14600029906069675,0.0,6.221538230629659e-05,0.0023387023381090852,274593.33715000004,4559475.523,1
419,420,274015.9869,4554975.523,275170.6874,4553975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17676693390695364,0.3275487328452953,0.31346331300124075,0.0,0.0,0.05084745762711865,0.20088626451230684,0.058823529411764705,0.12828883927130946,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.05394009933006389,0.0,6.221538230629659e-05,0.0023387023381090852,274593.33715000004,4554475.523,1
425,426,274015.9869,4548975.523,275170.6874,4547975.523,866025.4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15544362403411316,0.3008324571428439,0.29244197835949803,0.0028938793039870025,0.0028653295128939827,0.0,0.0,0.0,0.22024603920262337,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.17956089248707485,0.0,6.221538230629659e-05,0.0023387023381090852,274593.33715000004,4548475.523,1
428,429,274015.9869,4545975.523,275170.6874,4544975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16077781651625467,0.2915623421843401,0.2865443048001244,0.0,0.0,0.0,0.0,0.0,0.2836362020662921,0.3333333333333333,0.0,0.0,0.0002050020500205002,0.17105684199055388,0.0,5.262060381624741e-05,0.0006346889189015564,274593.33715000004,4545475.523,1
430,431,274015.9869,4543975.523,275170.6874,4542975.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1629728772083604,0.2924816651928249,0.2892325527255317,0.0,0.0,0.0,0.0,0.0,0.4017210648944583,0.3333333333333333,0.0,0.0,0.0002050020500205002,0.24969385087990287,0.0,5.262060381624741e-05,0.0006346889189015564,274593.33715000004,4543475.523,1
486,487,274882.0123,4556475.523,276036.7128,4555475.523,866025.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18571463990186288,0.34536390086396174,0.3566058244331676,0.0,0.0,0.0,0.0,0.0,0.12427571562904761,0.3333333333333333,0.0,0.0,0.00015375153751537513,0.0672446664655596,0.0,6.221538230629659e-05,0.0023387023381090852,275459.36254999996,4555975.523,1
